Segment,Customer Count,Avg RFM Score,Avg CLV,Avg Recency,Avg Frequency,Avg Monetary,Percentage
Declining,167855,7.5,53.380000,25.9,1.2,238.840000,24.100000000000
Developing,147015,9.47,138.960000,21.6,1.6,431.570000,21.100000000000
Low Activity,119786,5.57,27.900000,38.2,1,137.320000,17.200000000000
Regular,116608,11.46,1509.660000,19,3,1027.200000,16.700000000000
High Value,106306,13.86,10213.670000,8.6,6.7,2471.030000,15.200000000000
Inactive,39900,3.75,13.540000,47.5,1,67.710000,5.700000000000
